Product_ID,Material_Type,Product_Weight_g,Fragility,Recyclable,Transport_Mode,LCA_Emission_kgCO2,Packaging_Option
P0000,Plastic,520,Low,Yes,Sea,1.092,Recycled Cardboard
P0001,Metal,334,Low,Yes,Land,0.601,Paper Wrap
P0002,Paper,1706,Low,Yes,Sea,1.535,Paper Wrap
P0003,Bioplastic,1566,Medium,Yes,Land,1.096,Paper Wrap
P0004,Paper,1564,Low,No,Sea,1.408,Paper Wrap
P0005,Paper,1916,High,Yes,Sea,1.724,Paper Wrap
P0006,Paper,717,Medium,Yes,Land,0.645,Paper Wrap
P0007,Ceramic,1886,High,No,Air,2.263,Bio Bubble Wrap
P0008,Paper,1371,High,No,Sea,1.234,Paper Wrap
P0009,Ceramic,970,Medium,Yes,Land,1.164,Bio Bubble Wrap
P0010,Paper,314,Low,Yes,Air,0.283,Paper Wrap
P0011,Ceramic,1006,Low,No,Air,1.207,Bio Bubble Wrap
P0012,Metal,363,High,Yes,Air,0.653,Recycled Cardboard
P0013,Paper,971,High,Yes,Land,0.874,Paper Wrap
P0014,Glass,704,Medium,Yes,Sea,1.056,Bio Bubble Wrap
P0015,Ceramic,1869,High,Yes,Land,2.243,Bio Bubble Wrap
P0016,Ceramic,1820,Medium,Yes,Air,2.184,Bio Bubble Wrap
P0017,Ceramic,772,Medium,No,Air,0.926,Bio Bubble Wrap
P0018,Paper,1492,Medium,Yes,Land,1.343,Paper Wrap
P0019,Paper,580,High,Yes,Air,0.522,Paper Wrap
P0020,Glass,272,Medium,Yes,Land,0.408,Bio Bubble Wrap
P0021,Glass,1417,Low,Yes,Air,2.126,Bio Bubble Wrap
P0022,Plastic,259,Medium,No,Air,0.544,Recycled Cardboard
P0023,Paper,358,High,Yes,Air,0.322,Paper Wrap
P0024,Paper,940,Low,Yes,Land,0.846,Paper Wrap
P0025,Paper,566,Low,No,Sea,0.509,Paper Wrap
P0026,Plastic,1998,Medium,Yes,Sea,4.196,Recycled Cardboard
P0027,Metal,268,Medium,Yes,Air,0.482,Mushroom Foam
P0028,Glass,1717,Low,Yes,Air,2.575,Bio Bubble Wrap
P0029,Paper,1532,Low,No,Land,1.379,Paper Wrap
P0030,Glass,583,Low,Yes,Sea,0.875,Bio Bubble Wrap
P0031,Ceramic,610,Low,Yes,Air,0.732,Bio Bubble Wrap
P0032,Plastic,1790,Low,No,Sea,3.759,Recycled Cardboard
P0033,Bioplastic,1074,Medium,Yes,Sea,0.752,Paper Wrap
P0034,Metal,730,Medium,No,Air,1.314,Mushroom Foam
P0035,Paper,921,Medium,Yes,Sea,0.829,Paper Wrap
P0036,Ceramic,765,Medium,Yes,Sea,0.918,Bio Bubble Wrap
P0037,Plastic,370,Medium,Yes,Land,0.777,Recycled Cardboard
P0038,Paper,297,Low,Yes,Air,0.267,Paper Wrap
P0039,Bioplastic,1940,High,Yes,Sea,1.358,Paper Wrap
