Product_ID,Material_Type,Product_Weight_g,Fragility,Recyclable,Transport_Mode,LCA_Emission_kgCO2,Packaging_Option,Cost_per_unit,Biodegradability_Score,Strength_Score,Product_Category,CO2_Impact_Index,Cost_Efficiency_Index,Recyclable_Binary,Material_Suitability_Score
P0000,Plastic,520,Low,Yes,Sea,1.092,Recycled Cardboard,0.49,10,65,E-Commerce,73.98,75.5,1,56.57
P0001,Metal,334,Low,Yes,Land,0.601,Paper Wrap,0.39,5,40,Industrial,85.68,80.5,1,55.08
P0002,Paper,1706,Low,Yes,Sea,1.535,Paper Wrap,0.32,95,40,Food & Beverage,63.42,84.0,1,71.78
P0003,Bioplastic,1566,Medium,Yes,Land,1.096,Paper Wrap,0.28,80,40,Pharma & Health,73.88,86.0,1,71.66
P0004,Paper,1564,Low,No,Sea,1.408,Paper Wrap,0.15,95,40,Food & Beverage,66.44,92.5,0,74.81
P0005,Paper,1916,High,Yes,Sea,1.724,Paper Wrap,0.15,95,40,Food & Beverage,58.91,92.5,1,72.55
P0006,Paper,717,Medium,Yes,Land,0.645,Paper Wrap,0.12,95,40,Food & Beverage,84.63,94.0,1,80.64
P0007,Ceramic,1886,High,No,Air,2.263,Bio Bubble Wrap,1.11,20,70,Home & Decor,46.07,44.5,0,43.95
P0008,Paper,1371,High,No,Sea,1.234,Paper Wrap,0.28,95,40,Food & Beverage,70.59,86.0,0,74.43
P0009,Ceramic,970,Medium,Yes,Land,1.164,Bio Bubble Wrap,1.0,20,70,Home & Decor,72.26,50.0,1,53.18
P0010,Paper,314,Low,Yes,Air,0.283,Paper Wrap,0.11,95,40,Food & Beverage,93.26,94.5,1,83.35
P0011,Ceramic,1006,Low,No,Air,1.207,Bio Bubble Wrap,1.18,20,70,Home & Decor,71.23,41.0,0,50.62
P0012,Metal,363,High,Yes,Air,0.653,Recycled Cardboard,0.72,5,65,Electronics,84.44,64.0,1,55.58
P0013,Paper,971,High,Yes,Land,0.874,Paper Wrap,0.16,95,40,Food & Beverage,79.17,92.0,1,78.5
P0014,Glass,704,Medium,Yes,Sea,1.056,Bio Bubble Wrap,0.63,15,70,Home & Decor,74.83,68.5,1,57.32
P0015,Ceramic,1869,High,Yes,Land,2.243,Bio Bubble Wrap,0.63,20,70,Home & Decor,46.54,68.5,1,50.09
P0016,Ceramic,1820,Medium,Yes,Air,2.184,Bio Bubble Wrap,0.71,20,70,Home & Decor,47.95,64.5,1,49.51
P0017,Ceramic,772,Medium,No,Air,0.926,Bio Bubble Wrap,0.87,20,70,Home & Decor,77.93,56.5,0,56.5
P0018,Paper,1492,Medium,Yes,Land,1.343,Paper Wrap,0.23,95,40,Food & Beverage,67.99,88.5,1,74.27
P0019,Paper,580,High,Yes,Air,0.522,Paper Wrap,0.19,95,40,Food & Beverage,87.56,90.5,1,80.64
P0020,Glass,272,Medium,Yes,Land,0.408,Bio Bubble Wrap,0.93,15,70,Home & Decor,90.28,53.5,1,58.21
P0021,Glass,1417,Low,Yes,Air,2.126,Bio Bubble Wrap,0.6,15,70,Home & Decor,49.33,70.0,1,50.05
P0022,Plastic,259,Medium,No,Air,0.544,Recycled Cardboard,0.45,10,65,Cosmetics,87.04,77.5,0,60.99
P0023,Paper,358,High,Yes,Air,0.322,Paper Wrap,0.21,95,40,Food & Beverage,92.33,89.5,1,81.82
P0024,Paper,940,Low,Yes,Land,0.846,Paper Wrap,0.24,95,40,Food & Beverage,79.84,88.0,1,77.7
P0025,Paper,566,Low,No,Sea,0.509,Paper Wrap,0.34,95,40,Food & Beverage,87.87,83.0,0,78.86
P0026,Plastic,1998,Medium,Yes,Sea,4.196,Recycled Cardboard,0.4,10,65,Cosmetics,0.0,80.0,1,35.5
P0027,Metal,268,Medium,Yes,Air,0.482,Mushroom Foam,1.42,5,75,Industrial,88.51,29.0,1,50.05
P0028,Glass,1717,Low,Yes,Air,2.575,Bio Bubble Wrap,0.91,15,70,Home & Decor,38.63,54.5,1,42.96
P0029,Paper,1532,Low,No,Land,1.379,Paper Wrap,0.11,95,40,Food & Beverage,67.14,94.5,0,75.52
P0030,Glass,583,Low,Yes,Sea,0.875,Bio Bubble Wrap,0.93,15,70,Home & Decor,79.15,53.5,1,54.87
P0031,Ceramic,610,Low,Yes,Air,0.732,Bio Bubble Wrap,0.62,20,70,Home & Decor,82.55,69.0,1,61.02
P0032,Plastic,1790,Low,No,Sea,3.759,Recycled Cardboard,0.33,10,65,E-Commerce,10.41,83.5,0,39.5
P0033,Bioplastic,1074,Medium,Yes,Sea,0.752,Paper Wrap,0.38,80,40,Pharma & Health,82.08,81.0,1,72.87
P0034,Metal,730,Medium,No,Air,1.314,Mushroom Foam,1.96,5,75,Industrial,68.68,2.0,0,37.35
P0035,Paper,921,Medium,Yes,Sea,0.829,Paper Wrap,0.34,95,40,Food & Beverage,80.24,83.0,1,76.57
P0036,Ceramic,765,Medium,Yes,Sea,0.918,Bio Bubble Wrap,0.71,20,70,Home & Decor,78.12,64.5,1,58.56
P0037,Plastic,370,Medium,Yes,Land,0.777,Recycled Cardboard,0.35,10,65,Cosmetics,81.48,82.5,1,60.57
P0038,Paper,297,Low,Yes,Air,0.267,Paper Wrap,0.31,95,40,Food & Beverage,93.64,84.5,1,80.97
P0039,Bioplastic,1940,High,Yes,Sea,1.358,Paper Wrap,0.23,80,40,Pharma & Health,67.64,88.5,1,70.42
P0040,Plastic,1948,Medium,Yes,Land,4.091,Recycled Cardboard,0.36,10,65,Cosmetics,2.5,82.0,1,36.75
P0041,Plastic,1705,Medium,Yes,Air,3.58,Recycled Cardboard,0.55,10,65,Cosmetics,14.68,72.5,1,38.03
P0042,Glass,1811,Low,Yes,Air,2.716,Bio Bubble Wrap,0.52,15,70,Home & Decor,35.27,74.0,1,46.83
P0043,Metal,1201,High,Yes,Air,2.162,Cornstarch Wrap,1.42,5,55,Electronics,48.47,29.0,1,34.04
P0044,Metal,296,Low,Yes,Land,0.533,Recycled Cardboard,0.43,5,65,Industrial,87.3,78.5,1,60.06
P0045,Bioplastic,1349,Low,Yes,Air,0.944,Paper Wrap,0.3,80,40,Pharma & Health,77.5,85.0,1,72.5
P0046,Ceramic,554,Low,Yes,Air,0.665,Bio Bubble Wrap,0.72,20,70,Home & Decor,84.15,64.0,1,60.24
P0047,Plastic,691,Medium,Yes,Air,1.451,Recycled Cardboard,0.56,10,65,Cosmetics,65.42,72.0,1,53.13
P0048,Ceramic,1106,High,Yes,Sea,1.327,Bio Bubble Wrap,0.88,20,70,Home & Decor,68.37,56.0,1,53.51
P0049,Glass,871,Medium,Yes,Air,1.306,Bio Bubble Wrap,0.63,15,70,Home & Decor,68.88,68.5,1,55.54
